t,deltaT,deltaTdot
0.05,9.99602474916533e-07,-1.5637139744944193e-08
0.1,9.984795993541325e-07,-2.905509822389464e-08
0.15000000000000002,9.96734125029781e-07,-4.057515399285978e-08
0.2,9.944541408904369e-07,-5.046393899774919e-08
0.25,9.917155246276685e-07,-5.894435161033034e-08
0.3,9.885839125094076e-07,-6.620399219214479e-08
0.35,9.851162952447337e-07,-7.24017448854032e-08
0.39999999999999997,9.813623208673445e-07,-7.767295793273329e-08
0.44999999999999996,9.773653661376472e-07,-8.213355426196116e-08
0.49999999999999994,9.731634236022348e-07,-8.588331821842659e-08
0.5499999999999999,9.687898407565613e-07,-8.9008542490434e-08
0.6,9.64273939718701e-07,-9.158417425770583e-08
0.65,9.59641539725839e-07,-9.367556649378127e-08
0.7000000000000001,9.549154001027456e-07,-9.53399157876521e-08
0.7500000000000001,9.50115597757616e-07,-9.662744965648335e-08
0.8000000000000002,9.452598504699201e-07,-9.75824124347162e-08
0.8500000000000002,9.403637950527174e-07,-9.824388825870704e-08
0.9000000000000002,9.354412277543182e-07,-9.864649156689695e-08
0.9500000000000003,9.305043129039211e-07,-9.882094928393256e-08
1.0000000000000002,9.255637647222387e-07,-9.879459399978086e-08
1.0500000000000003,9.206290063500949e-07,-9.859178365712732e-08
1.1000000000000003,9.157083094489641e-07,-9.823426027343625e-08
1.1500000000000004,9.108089171616971e-07,-9.774145786163182e-08
1.2000000000000004,9.059371527616345e-07,-9.713076783487278e-08
1.2500000000000004,9.010985159425016e-07,-9.641776867962384e-08
1.3000000000000005,8.96297768393138e-07,-9.561642547562942e-08
1.3500000000000005,8.915390100470889e-07,-9.473926386879243e-08
1.4000000000000006,8.868257471869395e-07,-9.379752231488849e-08
1.4500000000000006,8.821609534087853e-07,-9.28012857708334e-08
1.5000000000000007,8.77547124306781e-07,-9.175960348642382e-08
1.5500000000000007,8.729863266160417e-07,-9.068059311996124e-08
1.6000000000000008,8.684802424500337e-07,-8.957153304769443e-08
1.6500000000000008,8.640302091825446e-07,-8.843894444509986e-08
1.7000000000000008,8.596372554516007e-07,-8.728866447613459e-08
1.7500000000000009,8.553021337010242e-07,-8.612591172552077e-08
1.800000000000001,8.510253496228452e-07,-8.495534484144802e-08
1.850000000000001,8.468071888189953e-07,-8.378111521583883e-08
1.900000000000001,8.426477409623479e-07,-8.260691441167946e-08
1.950000000000001,8.385469217042206e-07,-8.143601694795101e-08
2.000000000000001,8.34504492547057e-07,-8.027131896920201e-08
2.0500000000000007,8.305200788764487e-07,-7.911537325617232e-08
2.1000000000000005,8.2659318632537e-07,-7.797042097396174e-08
2.1500000000000004,8.227232156249644e-07,-7.683842050327261e-08
2.2,8.189094760800576e-07,-7.572107365678893e-08
2.25,8.151511977934121e-07,-7.46198495455805e-08
2.3,8.114475427503053e-07,-7.353600632854304e-08
2.3499999999999996,8.077976148640607e-07,-7.247061105047348e-08
2.3999999999999995,8.042004690734821e-07,-7.1424557750743e-08
2.4499999999999993,8.006551195745639e-07,-7.039858400409227e-08
2.499999999999999,7.971605472612221e-07,-6.93932860373504e-08
2.549999999999999,7.937157064429954e-07,-6.84091325504663e-08
2.5999999999999988,7.903195309015857e-07,-6.744647735679944e-08
2.6499999999999986,7.869709393426594e-07,-6.650557094585864e-08
2.6999999999999984,7.836688402944341e-07,-6.558657106136217e-08
2.7499999999999982,7.804121365001599e-07,-6.468955237841562e-08
2.799999999999998,7.771997288476214e-07,-6.38145153555934e-08
2.849999999999998,7.740305198751743e-07,-6.296139433061883e-08
2.8999999999999977,7.709034168905558e-07,-6.213006492204197e-08
2.9499999999999975,7.678173347357327e-07,-6.132035079370911e-08
2.9999999999999973,7.647711982283343e-07,-6.05320298338114e-08
3.049999999999997,7.617639443077467e-07,-5.976483979581713e-08
3.099999999999997,7.587945239116749e-07,-5.901848344456549e-08
3.149999999999997,7.558619036069156e-07,-5.8292633247174236e-08
3.1999999999999966,7.529650669961761e-07,-5.758693564514001e-08
3.2499999999999964,7.501030159210356e-07,-5.6901014941047045e-08
3.2999999999999963,7.472747714795418e-07,-5.623447683061175e-08
3.349999999999996,7.444793748754581e-07,-5.55869116083459e-08
3.399999999999996,7.417158881148249e-07,-5.495789707289328e-08
3.4499999999999957,7.389833945642405e-07,-5.4347001156060104e-08
3.4999999999999956,7.362809993841181e-07,-5.375378429769825e-08
3.5499999999999954,7.336078298491091e-07,-5.317780158689436e-08
3.599999999999995,7.309630355668992e-07,-5.261860468835195e-08
3.649999999999995,7.283457886056763e-07,-5.2075743571413975e-08
3.699999999999995,7.25755283539731e-07,-5.154876805784802e-08
3.7499999999999947,7.231907374218748e-07,-5.1037229203294736e-08
3.7999999999999945,7.206513896906437e-07,-5.0540680526153044e-08
3.8499999999999943,7.181365020195941e-07,-5.005867909663478e-08
3.899999999999994,7.156453581153858e-07,-4.9590786497758907e-08
