z,H_model,H_LCDM,DeltaH/H
0.0,0.6711565608927001,0.6711565608927001,0.0
0.002960891473211326,0.6727351968355517,0.6727330313585054,3.2189248117821135e-06
0.005921782946422652,0.6743138327784032,0.6743095018243107,6.4227985528178836e-06
0.008882674419633977,0.6758924687212547,0.6758859722901159,9.611726541389593e-06
0.011843565892845303,0.6774711046641062,0.6774624427559212,1.2785813114320243e-05
0.01480445736605663,0.6790497406069578,0.6790389132217264,1.5945161640328422e-05
0.017765348839267954,0.6806283765498092,0.6806153836875317,1.908987452960892e-05
0.020726240312479282,0.6822070124926608,0.6821918541533369,2.2220053246860887e-05
0.023687131785690606,0.6837856484355123,0.6837683246191422,2.533579831991414e-05
0.02664802325890193,0.6853642843783638,0.6853447950849475,2.843720935228634e-05
0.02960891473211326,0.6869429203212153,0.6869212655507527,3.1524385032981266e-05
0.032569806205324583,0.6885215562640669,0.688497736016558,3.459742314728123e-05
0.03553069767853591,0.6901210634738693,0.6900949629479484,3.782164386390395e-05
0.03849158915174723,0.6917658212775561,0.6917371915745824,4.138812156192371e-05
0.041452480624958564,0.693410579081243,0.6933794202012162,4.493770527219078e-05
0.04441337209816989,0.6950553368849298,0.6950216488278501,4.847051474802363e-05
0.04737426357138121,0.6967000946886167,0.6966638774544841,5.1986668614052646e-05
0.05033515504459254,0.6983448524923036,0.698306106081118,5.548628437901496e-05
0.05329604651780386,0.6999896102959904,0.6999483347077519,5.8969478448369266e-05
0.05625693799101519,0.7016343680996773,0.7015905633343859,6.24363661381576e-05
0.05921782946422652,0.7032791259033642,0.7032327919610197,6.588706168725208e-05
0.06217872093743784,0.704923883707051,0.7048750205876536,6.93216782694304e-05
0.06513961241064917,0.7065686415107378,0.7065172492142876,7.274032800669716e-05
0.06810050388386049,0.7082133993144246,0.7081594778409215,7.614312198085225e-05
0.07106139535707182,0.7098581571181115,0.7098017064675554,7.953017024583682e-05
0.07402228683028314,0.7115630247191441,0.71150367197853,8.341874111350134e-05
0.07698317830349447,0.7132764267357542,0.7132141189587291,8.736195115719534e-05
0.0799440697767058,0.7149898287523644,0.7149245659389281,9.128629305193536e-05
0.08290496124991713,0.7167032307689745,0.7166350129191271,9.519190189921566e-05
0.08586585272312845,0.7184166327855847,0.7183454598993261,9.907891151501038e-05
0.08882674419633978,0.7201300348021947,0.7200559068795251,0.00010294745444257479
0.0917876356695511,0.7218434368188049,0.7217663538597241,0.00010679766196998703
0.09474852714276243,0.723556838835415,0.7234768008399232,0.00011062966414253016
0.09770941861597375,0.7252702408520251,0.7251872478201221,0.00011444358977964515
0.10067031008918507,0.7269836428686353,0.7268976948003212,0.00011823956648767322
0.1036312015623964,0.7286970448852453,0.7286081417805201,0.00012201772067485688
0.10659209303560772,0.7304104469018555,0.7303185887607192,0.00012577817756521787
0.10955298450881905,0.7321238489184656,0.7320290357409182,0.0001295210612123925
0.11251387598203039,0.7338791857636824,0.7337811230794066,0.00013364023847367443
0.11547476745524171,0.7356638928597673,0.7355623744280942,0.00013801471527412573
0.11843565892845304,0.7374485999558521,0.7373436257767819,0.00014236805662976213
0.12139655040166436,0.739233307051937,0.7391248771254697,0.00014670041534660223
0.12435744187487568,0.7410180141480218,0.7409061284741574,0.00015101194276103902
0.127318333348087,0.7428027212441067,0.742687379822845,0.00015530278875776224
0.13027922482129833,0.7445874283401916,0.7444686311715328,0.00015957310178652903
0.13324011629450966,0.7463721354362765,0.7462498825202205,0.00016382302888018224
0.13620100776772098,0.7481568425323614,0.7480311338689082,0.00016805271567107494
0.1391618992409323,0.7499415496284462,0.7498123852175959,0.00017226230640726158
0.14212279071414363,0.7517262567245311,0.7515936365662836,0.00017645194396978775
0.14508368218735496,0.7535109638206159,0.7533748879149713,0.00018062176988826133
0.14804457366056628,0.7552956709167008,0.755156139263659,0.00018477192435708528
0.1510054651337776,0.7570803780127856,0.7569373906123468,0.00018890254625043455
0.15396635660698893,0.7588906177859759,0.7587439708352124,0.00019327593549385246
0.15692724808020025,0.7607494579854094,0.7605987635536274,0.00019812605410753512
0.1598881395534116,0.762608298184843,0.7624535562720426,0.00020295257531095163
0.16284903102662293,0.7644671383842766,0.7643083489904577,0.0002077556708998365
0.16580992249983426,0.7663259785837101,0.7661631417088729,0.00021253551100618864
0.16877081397304558,0.7681848187831437,0.768017934427288,0.00021729226411893937
0.1717317054462569,0.7700436589825772,0.7698727271457032,0.00022202609710273566
0.17469259691946823,0.7719024991820108,0.7717275198641182,0.00022673717521875416
0.17765348839267955,0.7737613393814444,0.7735823125825334,0.0002314256621423452
0.18061437986589088,0.7756201795808779,0.7754371053009486,0.00023609171998328774
0.1835752713391022,0.7774790197803115,0.7772918980193637,0.00024073550930432512
0.18653616281231353,0.779337859979745,0.7791466907377789,0.00024535718913872435
0.18949705428552485,0.7811967001791786,0.7810014834561939,0.000249956917009717
0.19245794575873618,0.7830555403786121,0.7828562761746091,0.00025453484894668574
0.1954188372319475,0.7849143805780457,0.7847110688930242,0.00025909113950480005
0.19837972870515883,0.7867744211283642,0.7865670510171449,0.0002636394582650475
0.20134062017837015,0.7887104271644263,0.7884983059496655,0.0002690192396866294
0.20430151165158147,0.7906464332004884,0.7904295608821862,0.0002743727322902811
0.2072624031247928,0.7925824392365506,0.7923608158147069,0.0002797001283005863
0.21022329459800412,0.7945184452726126,0.7942920707472275,0.00028500161807247667
0.21318418607121545,0.7964544513086748,0.7962233256797481,0.00029027739011460346
0.21614507754442677,0.7983904573447369,0.7981545806122687,0.0002955276311102833
