t,deltaT,deltaTdot
0.05,9.999045971712745e-07,-3.752976123237585e-09
0.1,9.996304261541974e-07,-7.157887865990828e-09
0.15000000000000002,9.991937026470327e-07,-1.0261092386171249e-08
0.2,9.986085328346498e-07,-1.3100839922437302e-08
0.25,9.97887275906791e-07,-1.5708935078542845e-08
0.3,9.970408334012329e-07,-1.8112015742960707e-08
0.35,9.960788819680308e-07,-2.033254684442304e-08
0.39999999999999997,9.950100619923516e-07,-2.2389599199205406e-08
0.44999999999999996,9.93842131491691e-07,-2.4299464814763907e-08
0.49999999999999994,9.92582092483178e-07,-2.6076146605357862e-08
0.5499999999999999,9.912362953685635e-07,-2.7731750847608853e-08
0.6,9.898105256491093e-07,-2.927680371657458e-08
0.65,9.883100763481278e-07,-3.07205081204455e-08
0.7000000000000001,9.867398088060408e-07,-3.207095326097448e-08
0.7500000000000001,9.851042039645882e-07,-3.333528651603853e-08
0.8000000000000002,9.834074058320219e-07,-3.4519855109225346e-08
0.8500000000000002,9.816532584895928e-07,-3.563032341353004e-08
0.9000000000000002,9.79845337739174e-07,-3.667177049906625e-08
0.9500000000000003,9.779869782859068e-07,-3.7648771581816607e-08
1.0000000000000002,9.760812971859206e-07,-3.856546629154668e-08
1.0500000000000003,9.74131214158106e-07,-3.942561610032739e-08
1.1000000000000003,9.72139469253487e-07,-4.0232652800264085e-08
1.1500000000000004,9.70108638290499e-07,-4.098971956133771e-08
1.2000000000000004,9.680411463952284e-07,-4.169970581614535e-08
1.2500000000000004,9.65939279929151e-07,-4.236527699144319e-08
1.3000000000000005,9.638051970405886e-07,-4.2988899924288526e-08
1.3500000000000005,9.616409370379716e-07,-4.3572864653697835e-08
1.4000000000000006,9.594484287515037e-07,-4.411930315971832e-08
1.4500000000000006,9.57229498023713e-07,-4.463020552493729e-08
1.5000000000000007,9.549858744476459e-07,-4.510743391427157e-08
1.5500000000000007,9.527191974533349e-07,-4.5552734703895555e-08
1.6000000000000008,9.504310218279985e-07,-4.596774903663099e-08
1.6500000000000008,9.481228227426937e-07,-4.635402203685603e-08
1.7000000000000008,9.45796000347432e-07,-4.671301088126461e-08
1.7500000000000009,9.434518839877336e-07,-4.704609189123628e-08
1.800000000000001,9.410917360879579e-07,-4.7354566787051444e-08
1.850000000000001,9.387167557402832e-07,-4.7639668222814156e-08
1.900000000000001,9.363280820327243e-07,-4.7902564702999596e-08
1.950000000000001,9.33926797144916e-07,-4.8144364966440136e-08
2.000000000000001,9.315139292364255e-07,-4.8366121910822026e-08
2.0500000000000007,9.290904551489781e-07,-4.856883611999307e-08
2.1000000000000005,9.266573029410974e-07,-4.8753459047257375e-08
2.1500000000000004,9.24215354271203e-07,-4.8920895900091423e-08
2.2,9.217654466431005e-07,-4.907200826513621e-08
2.25,9.193083755260025e-07,-4.920761650672061e-08
2.3,9.168448963596772e-07,-4.932850196740035e-08
2.3499999999999996,9.143757264539987e-07,-4.943540899492706e-08
2.3999999999999995,9.11901546791045e-07,-4.952904681658788e-08
2.4499999999999993,9.094230037369153e-07,-4.961009127888748e-08
2.499999999999999,9.069407106696046e-07,-4.9679186468007327e-08
2.549999999999999,9.04455249528559e-07,-4.97369462243067e-08
2.5999999999999988,9.019671722909185e-07,-4.97839555622739e-08
2.6499999999999986,8.994770023789216e-07,-4.9820772005747774e-08
2.6999999999999984,8.969852360024952e-07,-4.984792684687088e-08
2.7499999999999982,8.94492343440654e-07,-4.986592633607314e-08
2.799999999999998,8.919987702649983e-07,-4.987525280939058e-08
2.849999999999998,8.895049385083028e-07,-4.987636575857358e-08
2.8999999999999977,8.870112477809376e-07,-4.98697028487126e-08
2.9499999999999975,8.845180763376385e-07,-4.985568088748851e-08
2.9999999999999973,8.820257820969563e-07,-4.983469674962495e-08
3.049999999999997,8.795347036155417e-07,-4.980712825966796e-08
3.099999999999997,8.770451610192836e-07,-4.977333503583257e-08
3.149999999999997,8.745574568931818e-07,-4.973365929732773e-08
3.1999999999999966,8.720718771317285e-07,-4.9688426637291256e-08
3.2499999999999964,8.695886917514674e-07,-4.9637946763228255e-08
3.2999999999999963,8.671081556673145e-07,-4.958251420664446e-08
3.349999999999996,8.646305094341397e-07,-4.952240900339341e-08
3.399999999999996,8.621559799550393e-07,-4.945789734611041e-08
3.4499999999999957,8.596847811576641e-07,-4.9389232209981646e-08
3.4999999999999956,8.572171146399051e-07,-4.93166539529913e-08
3.5499999999999954,8.547531702861881e-07,-4.9240390891699246e-08
3.599999999999995,8.522931268555748e-07,-4.916065985352541e-08
3.649999999999995,8.498371525428212e-07,-4.907766670645125e-08
3.699999999999995,8.473854055135024e-07,-4.89916068669928e-08
3.7499999999999947,8.449380344142681e-07,-4.890266578725135e-08
3.7999999999999945,8.424951788592557e-07,-4.881101942180638e-08
3.8499999999999943,8.400569698936517e-07,-4.871683467517907e-08
3.899999999999994,8.376235304353532e-07,-4.8620269830563044e-08
3.949999999999994,8.351949756956503e-07,-4.852147496049117e-08
3.999999999999994,8.327714135798166e-07,-4.8420592320082444e-08
4.049999999999994,8.303529450684614e-07,-4.8317756723490497e-08
4.099999999999993,8.279396645804708e-07,-4.821309590415519e-08
4.149999999999993,8.255316603183289e-07,-4.8106730859439963e-08
4.199999999999993,8.231290145965905e-07,-4.799877618022039e-08
4.249999999999993,8.207318041542393e-07,-4.788934036597318e-08
4.299999999999993,8.183401004516453e-07,-4.777852612589944e-08
4.3499999999999925,8.159539699528067e-07,-4.7666430666601155e-08
4.399999999999992,8.135734743935343e-07,-4.755314596681599e-08
4.449999999999992,8.111986710362149e-07,-4.7438759039701346e-08
4.499999999999992,8.088296129117627e-07,-4.732335218314544e-08
4.549999999999992,8.064663490493464e-07,-4.720700321856983e-08
4.599999999999992,8.041089246944555e-07,-4.7089785718674965e-08
4.6499999999999915,8.01757381515848e-07,-4.6971769224567375e-08
4.699999999999991,7.994117578018998e-07,-4.685301945269461e-08
4.749999999999991,7.97072088646853e-07,-4.673359849200145e-08
4.799999999999991,7.947384061274462e-07,-4.6613564991708606e-08
4.849999999999991,7.924107394703802e-07,-4.64929743401027e-08
4.899999999999991,7.900891152110635e-07,-4.6371878834714336e-08
4.94999999999999,7.877735573440576e-07,-4.625032784424908e-08
4.99999999999999,7.854640874656243e-07,-4.612836796262415e-08
5.04999999999999,7.831607249087627e-07,-4.600604315545199e-08
5.09999999999999,7.808634868711047e-07,-4.588339489930048e-08
5.14999999999999,7.785723885360215e-07,-4.5760462314047844e-08
5.1999999999999895,7.762874431872796e-07,-4.5637282288639425e-08
5.249999999999989,7.740086623175683e-07,-4.5513889600542244e-08
5.299999999999989,7.717360557312064e-07,-4.5390317029182664e-08
5.349999999999989,7.694696316413217e-07,-4.5266595463641666e-08
5.399999999999989,7.672093967617855e-07,-4.514275400487204e-08
5.449999999999989,7.649553563941664e-07,-4.5018820062691565e-08
5.4999999999999885,7.627075145099624e-07,-4.4894819447796386e-08
5.549999999999988,7.604658738283504e-07,-4.477077645902906e-08
5.599999999999988,7.582304358896879e-07,-4.4646713966126415e-08
5.649999999999988,7.560012011249854e-07,-4.452265348816316e-08
5.699999999999988,7.537781689215603e-07,-4.4398615267898236e-08
5.749999999999988,7.515613376850722e-07,-4.427461834222233e-08
5.799999999999987,7.493507048981293e-07,-4.415068060889652e-08
5.849999999999987,7.471462671756476e-07,-4.4026818889763916e-08
5.899999999999987,7.44948020317133e-07,-4.3903048990608196e-08
5.949999999999987,7.427559593560529e-07,-4.3779385757825586e-08
5.999999999999987,7.405700786064486e-07,-4.365584313206907e-08
6.0499999999999865,7.383903717069405e-07,-4.353243419901693e-08
