z,DL_model,DL_LCDM,DeltaDL/DL
0.0,0.0,0.0,nan
0.002960891473211326,0.004419496484254577,0.004419503588912542,-1.6075692263408355e-06
0.005921782946422652,0.008854697789705945,0.008854726225630176,-3.2113837861307087e-06
0.008882674419633977,0.013305560906322834,0.013305624892478897,-4.8089553538389406e-06
0.011843565892845303,0.01777204305408246,0.017772156801630027,-6.400323204331352e-06
0.01480445736605663,0.0222541016811597,0.02225427939329247,-7.985526272465764e-06
0.017765348839267954,0.02675169446213498,0.026751950333923608,-9.564603157326471e-06
0.020726240312479282,0.03126477929622066,0.03126512751445871,-1.1137592126845913e-05
0.023687131785690606,0.03579331430550564,0.03579376904855839,-1.2704531119126302e-05
0.02664802325890193,0.04033725783321805,0.04033783327087424,-1.4265457748500744e-05
0.02960891473211326,0.04489656844200564,0.044897278735332016,-1.5820409307326176e-05
0.032569806205324583,0.04947120491223373,0.04947206421343239,-1.736942277069588e-05
0.03553069767853591,0.05406105905614661,0.054062081872915016,-1.8919300422254707e-05
0.03849158915174723,0.05866587736191907,0.05866707934507701,-2.048820516312433e-05
0.041452480624958564,0.06328547365599227,0.06328687123238741,-2.2083196213133962e-05
0.04441337209816989,0.06791980790447213,0.06792141748421837,-2.369767601818314e-05
0.04737426357138121,0.07256884028645191,0.0725706782628334,-2.5326708051749154e-05
0.05033515504459254,0.07723253119233742,0.0772346139417152,-2.6966527978689207e-05
0.05329604651780386,0.08191084122218983,0.08191318510391074,-2.8614217820161292e-05
0.05625693799101519,0.08660373118408556,0.08660635254039338,-3.0267483053303497e-05
0.05921782946422652,0.09131116209249283,0.09131407724844191,-3.1924496604700106e-05
0.06217872093743784,0.0960330951666653,0.09603632043003621,-3.3583787430232265e-05
0.06513961241064917,0.10076949182905182,0.10077304349026932,-3.524415949434715e-05
0.06810050388386049,0.10552031370372258,0.10552420803577578,-3.690463189142808e-05
0.07106139535707182,0.1102855226148114,0.11028977587317587,-3.856439394136782e-05
0.07402228683028314,0.11506489180279462,0.11506952136533101,-4.0232743488054587e-05
0.07698317830349447,0.11985816765308187,0.11986319218039011,-4.191885112389832e-05
0.0799440697767058,0.12466528623159136,0.12467072451962154,-4.362121140415466e-05
0.08290496124991713,0.1294862106559002,0.12949208147356844,-4.533727160319195e-05
0.08586585272312845,0.13432090423762832,0.1343272263268023,-4.706483820782475e-05
0.08882674419633978,0.13916933048092373,0.13917612255640985,-4.880201690753314e-05
0.0917876356695511,0.14403145308096352,0.1440387338304954,-5.0547164212422064e-05
0.09474852714276243,0.14890723592247015,0.14891502400669876,-5.229884815553969e-05
0.09770941861597375,0.15379664307824312,0.15380495713072825,-5.4055816146874844e-05
0.10067031008918507,0.1586996388077055,0.15870849743490875,-5.5816968507910056e-05
0.1036312015623964,0.16361618755546542,0.16362560933674447,-5.758133654775711e-05
0.10659209303560772,0.16854625394989212,0.16855625743749642,-5.934806429840296e-05
0.10955298450881905,0.17348980280170656,0.17350040652077428,-6.111639321404301e-05
0.11251387598203039,0.178446670855213,0.17845789417034513,-6.289055008912295e-05
0.11547476745524171,0.18341660525753814,0.18342846897665116,-6.467763253549331e-05
0.11843565892845304,0.18839948202344825,0.1884120075247445,-6.647931552130495e-05
0.12139655040166436,0.19339526735538376,0.19340847597849342,-6.829392064043007e-05
0.12435744187487568,0.19840392763090284,0.19841784067696377,-7.011993484793742e-05
0.127318333348087,0.20342542940133002,0.20344006813306822,-7.195599113068528e-05
0.13027922482129833,0.20845973939041867,0.20847512503222917,-7.380085181923619e-05
0.13324011629450966,0.21350682449302746,0.2135229782310555,-7.565339413056605e-05
0.13620100776772098,0.2185666517738098,0.21858359475603278,-7.751259760321873e-05
0.1391618992409323,0.2236391884659169,0.22365694180222642,-7.937753313830085e-05
0.14212279071414363,0.22872440196971383,0.22874298673199836,-8.124735341636347e-05
0.14508368218735496,0.23382225985150853,0.2338416970737365,-8.312128448948185e-05
0.14804457366056628,0.23893272984229375,0.23895304052059674,-8.499861838436e-05
0.1510054651337776,0.24405577983650129,0.24407698492925803,-8.687870658058589e-05
0.15396635660698893,0.2491913021485129,0.24921342315198336,-8.876329047881756e-05
0.15692724808020025,0.25433904535210705,0.254362105391379,-9.065831263055661e-05
0.1598881395534116,0.25949883416642255,0.25952285741423203,-9.256698253416298e-05
0.16284903102662293,0.26467063796223483,0.2646956485398769,-9.44880574352355e-05
0.16580992249983426,0.2698544262654256,0.2698804482429433,-9.642038794264906e-05
0.16877081397304558,0.2750501687558091,0.2750772261521823,-9.836290976041916e-05
0.1717317054462569,0.2802578352659709,0.28028595204930357,-0.0001003146362743773
0.17469259691946823,0.28547739578011777,0.28550659586782506,-0.0001022746518991492
0.17765348839267955,0.290708820432939,0.29073912769193383,-0.00010424210609500845
0.18061437986589088,0.29595207950847985,0.2959835177553578,-0.00010621620797122302
0.1835752713391022,0.3012071434390252,0.3012397364402496,-0.00010819622141995833
0.18653616281231353,0.306473982803995,0.30650775427608057,-0.00011018146071154249
0.18949705428552485,0.3117525683288503,0.31178754193854646,-0.00011217128650723785
0.19245794575873618,0.3170428708840102,0.3170790702484834,-0.0001141651022405098
0.1954188372319475,0.32234486148377944,0.32238231017079505,-0.00011616235083049873
0.19837972870515883,0.327658507844994,0.327697229402669,-0.0001181626031613489
0.20134062017837015,0.33298356061383694,0.3330235804357352,-0.00012017113576735652
0.20430151165158147,0.33831977398022917,0.338361119271993,-0.00012219279760280514
0.2072624031247928,0.34366712050566084,0.34370981840726506,-0.00012422659847797252
