t,A,cs2,m_eff2,no_ghost,grad_stable,tachyon_free
0.0,1.0075281954445339,1.0,0.0788067275526396,1,1,1
0.05,1.0075993838883202,1.0,0.07879555004399777,1,1,1
0.1,1.0076624726209764,1.0,0.07878564594624549,1,1,1
0.15000000000000002,1.007718335386643,1.0,0.07877687752481882,1,1,1
0.2,1.007767725657805,1.0,0.07876912606237328,1,1,1
0.25,1.0078112969444113,1.0,0.07876228863848211,1,1,1
0.3,1.00784961910281,1.0,0.07875627554528367,1,1,1
0.35,1.0078831915344673,1.0,0.07875100819723375,1,1,1
0.39999999999999997,1.0079124539451865,1.0,0.07874641742814859,1,1,1
0.44999999999999996,1.0079377951752524,1.0,0.07874244209431186,1,1,1
0.49999999999999994,1.0079595604924798,1.0,0.07873902792131261,1,1,1
0.5499999999999999,1.00797805765175,1.0,0.0787361265463682,1,1,1
0.6,1.0079935619580291,1.0,0.07873369471849273,1,1,1
0.65,1.0080063205192624,1.0,0.07873169362692412,1,1,1
0.7000000000000001,1.0080165558367815,1.0,0.07873008833438874,1,1,1
0.7500000000000001,1.0080244688509203,1.0,0.07872884729654062,1,1,1
0.8000000000000002,1.0080302415362699,1.0,0.07872794195260972,1,1,1
0.8500000000000002,1.0080340391227671,1.0,0.0787273463751887,1,1,1
0.9000000000000002,1.0080360120044523,1.0,0.07872703696936684,1,1,1
0.9500000000000003,1.0080362973863337,1.0,0.07872699221322725,1,1,1
1.0000000000000002,1.008035020710712,1.0,0.07872719243316535,1,1,1
1.0500000000000003,1.0080322968970257,1.0,0.07872761960864053,1,1,1
1.1000000000000003,1.0080282314233997,1.0,0.07872825720190524,1,1,1
1.1500000000000004,1.008022921273321,1.0,0.07872909000900995,1,1,1
1.2000000000000004,1.008016455766979,1.0,0.07873010402899577,1,1,1
1.2500000000000004,1.008008917293642,1.0,0.07873128634868998,1,1,1
1.3000000000000005,1.0080003819588272,1.0,0.07873262504093038,1,1,1
1.3500000000000005,1.0079909201578823,1.0,0.07873410907438637,1,1,1
1.4000000000000006,1.0079805970858018,1.0,0.078735728233424,1,1,1
1.4500000000000006,1.0079694731916347,1.0,0.07873747304669867,1,1,1
1.5000000000000007,1.007957604584594,1.0,0.07873933472335201,1,1,1
1.5500000000000007,1.0079450433979513,1.0,0.07874130509585464,1,1,1
1.6000000000000008,1.0079318381159288,1.0,0.0787433765686723,1,1,1
1.6500000000000008,1.0079180338680662,1.0,0.07874554207204976,1,1,1
1.7000000000000008,1.0079036726949304,1.0,0.07874779502030303,1,1,1
1.7500000000000009,1.0078887937884986,1.0,0.07875012927409449,1,1,1
1.800000000000001,1.007873433710112,1.0,0.07875253910623517,1,1,1
1.850000000000001,1.0078576265885086,1.0,0.07875501917061857,1,1,1
1.900000000000001,1.007841404300126,1.0,0.07875756447394108,1,1,1
1.950000000000001,1.0078247966335798,1.0,0.07876017034990918,1,1,1
2.000000000000001,1.0078078314399919,1.0,0.07876283243566957,1,1,1
2.0500000000000007,1.0077905347706304,1.0,0.07876554665023223,1,1,1
2.1000000000000005,1.0077729310031525,1.0,0.07876830917468347,1,1,1
2.1500000000000004,1.0077550429575817,1.0,0.07877111643401032,1,1,1
2.2,1.0077368920030234,1.0,0.07877396508037922,1,1,1
2.25,1.007718498156004,1.0,0.07877685197772905,1,1,1
2.3,1.0076998801712194,1.0,0.07877977418755505,1,1,1
2.3499999999999996,1.007681055625394,1.0,0.07878272895577408,1,1,1
2.3999999999999995,1.0076620409948673,1.0,0.07878571370057302,1,1,1
2.4499999999999993,1.00764285172747,1.0,0.07878872600115334,1,1,1
2.499999999999999,1.0076235023091806,1.0,0.07879176358729356,1,1,1
2.549999999999999,1.007604006326009,1.0,0.07879482432966012,1,1,1
2.5999999999999988,1.0075843765215107,1.0,0.07879790623080321,1,1,1
2.6499999999999986,1.0075646248502843,1.0,0.07880100741678185,1,1,1
2.6999999999999984,1.0075447625277834,1.0,0.07880412612936667,1,1,1
2.7499999999999982,1.0075248000767303,1.0,0.07880726071877486,1,1,1
2.799999999999998,1.007504747370402,1.0,0.07881040963689522,1,1,1
2.849999999999998,1.0074846136730233,1.0,0.0788135714309661,1,1,1
2.8999999999999977,1.0074644076774915,1.0,0.07881674473767158,1,1,1
2.9499999999999975,1.007444137540625,1.0,0.07881992827762484,1,1,1
2.9999999999999973,1.0074238109161249,1.0,0.07882312085020994,1,1,1
3.049999999999997,1.0074034349854084,1.0,0.07882632132875689,1,1,1
3.099999999999997,1.0073830164864686,1.0,0.07882952865602519,1,1,1
3.149999999999997,1.0073625617409003,1.0,0.0788327418399747,1,1,1
3.1999999999999966,1.0073420766792192,1.0,0.07883595994980387,1,1,1
3.2499999999999964,1.0073215668645883,1.0,0.07883918211223649,1,1,1
3.2999999999999963,1.007301037515066,1.0,0.07884240750804068,1,1,1
3.349999999999996,1.0072804935244688,1.0,0.07884563536876385,1,1,1
3.399999999999996,1.0072599394819446,1.0,0.07884886497366989,1,1,1
3.4499999999999957,1.0072393796903412,1.0,0.0788520956468647,1,1,1
3.4999999999999956,1.0072188181834467,1.0,0.0788553267545983,1,1,1
3.5499999999999954,1.007198258742177,1.0,0.07885855770273141,1,1,1
3.599999999999995,1.0071777049097768,1.0,0.07886178793435678,1,1,1
3.649999999999995,1.007157160006096,1.0,0.07886501692756458,1,1,1
3.699999999999995,1.0071366271410043,1.0,0.0788682441933433,1,1,1
3.7499999999999947,1.0071161092269911,1.0,0.07887146927360746,1,1,1
3.7999999999999945,1.0070956089910095,1.0,0.07887469173934401,1,1,1
