t,a,H,T,Tdot,rho_m,rho_T
0.0,1.0,0.6711565608927001,0.15,0.03,0.7,0.65135338768795
0.05,1.0336890806146701,0.6544815401833031,0.15141308063163633,0.026590668443548376,0.6337650040344854,0.6512732552876402
0.1,1.0676651645856354,0.6393687836848126,0.15266529969136872,0.02355589225531481,0.5751654909959905,0.6512118336557998
0.15000000000000002,1.1019639256580147,0.6256405323822469,0.15377402843303287,0.02084309814548131,0.5231134752791375,0.6511647519994866
0.2,1.1366197720945468,0.6131439989892603,0.15475424401728385,0.018408752130891066,0.476707978198658,0.651128712290968
0.25,1.1716660298082326,0.6017471335221084,0.15561893423531917,0.016216548781606263,0.43519763267774075,0.6511012054284819
0.3,1.2071351007396585,0.5913352251429255,0.1563794224324811,0.014236009919351771,0.3979517371273604,0.6510803083571429
0.35,1.2430586008284676,0.5818081534835094,0.15704563040376257,0.012441390299964513,0.36443764496973324,0.6510645374099394
0.39999999999999997,1.2794674810515576,0.573078148888391,0.15762629265069056,0.010810815786632202,0.33420295302662173,0.6510527411734129
0.44999999999999996,1.3163921343230403,0.5650679547536956,0.15812913218608074,0.009325599258140763,0.30686135900764655,0.6510440214609274
0.49999999999999994,1.3538624905227628,0.5577093100281239,0.15856100570716147,0.007969693588568904,0.2820813489871702,0.6510376744889679
0.5499999999999999,1.3919081015048385,0.5509416884906381,0.15892802419234642,0.0067292512087698975,0.25957708563040144,0.6510331467203443
0.6,1.4305582176085008,0.5447112453726952,0.15923565364761263,0.005592267181714696,0.23910102105145975,0.6510300014549582
0.65,1.4698418569308307,0.5389699324825054,0.15948879971858856,0.0045482881908135925,0.22043787099535062,0.6510278933652384
0.7000000000000001,1.5097878684096933,0.5336747510925417,0.15969187911097227,0.0035881739045242255,0.20339967090836883,0.6510265489526903
0.7500000000000001,1.5504249895943392,0.5287871181014914,0.1598488801648601,0.002703900228013377,0.18782169735866916,0.6510257514515725
0.8000000000000002,1.5917818998420292,0.5242723258376049,0.15996341446434967,0.0018883962563722115,0.17355908582053792,0.6510253290969773
0.8500000000000002,1.6338872695651654,0.5200990796692735,0.16003876100034464,0.0011354084988223641,0.16048401206279456,0.6510251459556813
0.9000000000000002,1.6767698060596907,0.5162391005802,0.16007790411809444,0.0004393872899806264,0.14848333218177143,0.65102509472179
0.9500000000000003,1.7204582963679744,0.5126667822370057,0.16008356625392234,-0.0002046086552852243,0.13745659779978367,0.6510250910279525
1.0000000000000002,1.7649816475649462,0.509358893966544,0.1600582362844891,-0.0008009927776943998,0.1273143796560558,0.6510250689324072
1.0500000000000003,1.8103689248024148,0.5062943225746395,0.16000419416669637,-0.0013537189011349972,0.11797684589065785,0.6510249773232814
1.1000000000000003,1.8566493874013652,0.5034538471583243,0.1599235324292343,-0.0018663392545557394,0.10937255161340285,0.6510247770421493
1.1500000000000004,1.9038525232440155,0.5008199420520005,0.15981817498189593,-0.002342053996108671,0.10143740449653345,0.6510244385743739
1.2000000000000004,1.9520080816852794,0.4983766038522825,0.1596898936315313,-0.0027837536333968813,0.09411377761383966,0.6510239401881651
1.2500000000000004,2.0011461051760175,0.4961091991238605,0.15954032263033444,-0.0031940554824106725,0.08734974593549387,0.6510232664304608
1.3000000000000005,2.0512969597672552,0.49400432992869436,0.1593709715302595,-0.0035753351057317127,0.08109842705715006,0.6510224069077448
1.3500000000000005,2.1024913646447145,0.4920497147661189,0.15918323657455594,-0.003929753507426148,0.07531741010894757,0.6510213552953094
1.4000000000000006,2.1547604208260305,0.490234082880082,0.15897841082196473,-0.004259280729673391,0.06996825952146861,0.6510201085303569
1.4500000000000006,2.208135639138423,0.48854708019612986,0.1587576931696539,-0.004565716388318126,0.06501608255091257,0.6510186661535785
1.5000000000000007,2.262648967582034,0.48697918540633495,0.15852219641639032,-0.004850707596287906,0.06042915128600515,0.6510170297710476
1.5500000000000007,2.3183328181732636,0.4855216349343335,0.1582729544868696,-0.0051157646513367225,0.05617857135400457,0.65101520261392
1.6000000000000008,2.375220093353055,0.4841663556923657,0.15801092892084406,-0.005362274804816019,0.052237990775399756,0.6510131891778795
1.6500000000000008,2.4333442120369035,0.48290590469369626,0.15773701471612825,-0.005591514378727537,0.04858334343633056,0.6510109949277813
1.7000000000000008,2.4927391353762767,0.4817334147118491,0.15745204560225728,-0.005804659457256124,0.04519262249407818,0.651008626055737
1.7500000000000009,2.5534393922949534,0.4806425452867002,0.15715679881114408,-0.006002795344778258,0.042045679735924206,0.6510060892831088
1.800000000000001,2.6154801048583916,0.47962743846984035,0.15685199940221722,-0.006186924953758724,0.039124047500764064,0.6510033916986574
1.850000000000001,2.678897013529519,0.47868267878041043,0.1565383241919675,-0.006357976261987552,0.036410780266654466,0.6510005406265142
1.900000000000001,2.743726502360216,0.4778032569100058,0.15621640533137632,-0.006516808958465578,0.033890313422628736,0.6509975435187983
1.950000000000001,2.8100056241641496,0.4769845367730446,0.15588683356917055,-0.006664220380264207,0.03154833709315874,0.650994407868629
2.000000000000001,2.8777721257134283,0.4762222255486917,0.15555016123410068,-0.006800950828328629,0.02937168317961511,0.6509911411400319
2.0500000000000007,2.94706447299879,0.4755123464032799,0.15520690496535353,-0.006927688338026221,0.02734822403400273,0.6509877507118559
2.1000000000000005,3.017921876590563,0.47485121361919014,0.15485754821668588,-0.0070450729699037115,0.02546678139354148,0.6509842438333118
2.1500000000000004,3.090384317135517,0.47423540988823193,0.15450254355681825,-0.00715370067731199,0.023717044386424496,0.6509806275891534
